Metric,Manual Strategy,Benchmark
Cumulative Return,-0.014490299999999956,-0.008340000000000014
STDEV of Daily Returns,0.0006611139001262069,0.0006749792804932116
Mean of Daily Returns,-1.9803929665338533e-05,-1.126073198862554e-05
