Metric,Manual Strategy,Benchmark
Cumulative Return,0.009986250000000307,0.0012300000000000644
STDEV of Daily Returns,0.0012816171998094271,0.0013395823450349233
Mean of Daily Returns,1.4432036241027521e-05,2.5797053476041866e-06
